scenario_id,type_covariate,type_transformation,eta,sample_size
4,fourier_expansion,linear_unimodal,0.25,500
8,fourier_expansion,linear_bimodal,0.25,500
12,fourier_expansion,non_linear_unimodal,0.25,500
16,fourier_expansion,non_linear_bimodal,0.25,500
20,fourier_expansion,linear_discrete,0.25,500
24,symmetric_fourier_expansion,linear_unimodal,0.25,500
28,symmetric_fourier_expansion,linear_bimodal,0.25,500
32,symmetric_fourier_expansion,non_linear_unimodal,0.25,500
36,symmetric_fourier_expansion,non_linear_bimodal,0.25,500
40,symmetric_fourier_expansion,linear_discrete,0.25,500
44,brownian_trend,linear_unimodal,0.25,500
48,brownian_trend,linear_bimodal,0.25,500
52,brownian_trend,non_linear_unimodal,0.25,500
56,brownian_trend,non_linear_bimodal,0.25,500
60,brownian_trend,linear_discrete,0.25,500
